dd,,,,ff,,,,,,,
mexican,CMS,0.161206007,1,0.187283748,0.198617812,0.463333333,3,"[5, 6, 6]",5.666666667,"[7, 9, 7]",7.666666667
mexican,CMS,0.250028133,0.3,0.223707263,0.193198104,0.453333333,3,"[6, 5, 7]",6,"[8, 6, 8]",7.333333333
mexican,CMS,0.255978107,0.9,0.187283748,0.198617812,0.463333333,3,"[5, 6, 6]",5.666666667,"[7, 9, 7]",7.666666667
mexican,CMS,0.289369822,0,0.228840064,0.212129237,0.476666667,3,"[11, 6, 14]",10.33333333,"[11, 7, 14]",10.66666667
polblogs,CMS,347.46974992752075,0.0,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 634]",317.5,"[1, 1169]",585.0
polblogs,CMS,385.6708092689514,0.1,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 331]",166.0,"[1, 357]",179.0
polblogs,CMS,372.3182518482208,0.2,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 334]",167.5,"[1, 362]",181.5
polblogs,CMS,372.9894206523895,0.3,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 340]",170.5,"[1, 356]",178.5
polblogs,CMS,381.0717520713806,0.4,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 339]",170.0,"[1, 355]",178.0
polblogs,CMS,376.2615110874176,0.5,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 339]",170.0,"[1, 355]",178.0
polblogs,CMS,373.8902368545532,0.6,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 341]",171.0,"[1, 358]",179.5
polblogs,CMS,373.99841117858887,0.7,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 341]",171.0,"[1, 358]",179.5
polblogs,CMS,377.7382230758667,0.8,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 342]",171.5,"[1, 359]",180.0
polblogs,CMS,388.9799771308899,0.9,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 341]",171.0,"[1, 357]",179.0
polblogs,CMS,365.6583459377289,1.0,0.003405012214796464,0.00027211628571896594,0.16625,2,"[1, 340]",170.5,"[1, 356]",178.5
karate,CMS,0.8183848857879639,0.1,1.0,1.0,1.0,2,"[8, 10]",9.0,"[11, 14]",12.5
karate,CMS,0.7844958305358887,0.1,1.0,1.0,1.0,2,"[8, 10]",9.0,"[11, 14]",12.5
