data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg
scalability_1000,CMS,1.4612054824829102,0.560009241104126,1.0,0.39699471628451594,0.05980313261836471,0.05002969663742691,38,"[9, 8, 256, 3, 85, 3, 1, 3, 3, 4, 4, 2, 5, 2, 4, 5, 2, 7, 11, 2, 0, 3, 6, 1, 3, 1, 5, 5, 4, 2, 2, 7, 1, 3, 2, 5, 2, 4]",12.5
scalability_2000,CMS,3.0044193267822266,1.0607624053955078,0.0,0.14741703788682617,0.005415595774655306,0.0006994439566871522,67,"[1782, 0, 95, 7, 0, 0, 0, 0, 0, 0, 3, 13, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",28.70149253731343
scalability_2000,CMS,4.543777942657471,1.3942136764526367,0.1,0.27444141234590047,0.014237218528792126,0.0069204776119402974,67,"[1032, 2, 3, 2, 2, 4, 0, 4, 4, 2, 47, 3, 4, 3, 2, 4, 2, 4, 3, 4, 3, 3, 3, 3, 3, 2, 5, 5, 4, 3, 3, 2, 1, 4, 6, 0, 5, 0, 2, 0, 0, 1, 0, 0, 0, 1, 8, 4, 4, 2, 1, 0, 1, 2, 1, 3, 0, 4, 2, 0, 2, 1, 0, 1, 2, 7, 4]",18.492537313432837
scalability_2000,CMS,3.7066307067871094,1.1301774978637695,0.2,0.31940536412935344,0.019284717068679222,0.008069839481836103,67,"[746, 2, 2, 131, 2, 4, 26, 1, 2, 5, 4, 4, 2, 2, 3, 4, 2, 3, 2, 4, 7, 2, 3, 4, 4, 3, 14, 3, 3, 3, 3, 2, 5, 3, 2, 2, 2, 6, 0, 0, 4, 2, 3, 4, 3, 6, 1, 8, 5, 4, 2, 2, 2, 3, 0, 5, 3, 4, 1, 8, 2, 1, 4, 4, 1, 2, 7]",16.611940298507463
scalability_2000,CMS,3.8845503330230713,1.0480866432189941,0.3,0.32331098772399075,0.01829979407792395,0.008142365097588977,67,"[770, 2, 2, 109, 3, 2, 2, 24, 2, 0, 4, 4, 2, 2, 2, 3, 4, 2, 3, 2, 2, 3, 4, 3, 3, 3, 16, 3, 6, 2, 5, 3, 2, 2, 2, 5, 0, 6, 2, 3, 4, 3, 2, 5, 1, 6, 8, 4, 4, 6, 5, 2, 2, 2, 3, 2, 3, 4, 8, 2, 4, 5, 4, 1, 2, 2, 7]",16.71641791044776
scalability_2000,CMS,4.9478795528411865,1.4006507396697998,0.4,0.3525040411080242,0.01254584425956408,0.008504302019315187,67,"[862, 2, 2, 2, 2, 20, 27, 0, 4, 4, 2, 11, 2, 2, 3, 4, 2, 3, 2, 2, 3, 4, 3, 14, 3, 3, 3, 6, 2, 5, 3, 7, 2, 2, 2, 4, 6, 6, 8, 2, 3, 4, 3, 5, 1, 0, 8, 4, 4, 6, 5, 2, 2, 6, 2, 3, 3, 2, 3, 4, 8, 2, 4, 4, 1, 2, 7]",17.074626865671643
scalability_2000,CMS,3.67146635055542,1.1217308044433594,0.5,0.3365996348560685,0.01610321346283359,0.009566390270867881,67,"[879, 2, 2, 80, 2, 2, 17, 16, 0, 4, 4, 2, 2, 2, 3, 4, 2, 3, 2, 4, 2, 2, 3, 4, 3, 14, 3, 3, 3, 3, 6, 2, 5, 3, 2, 2, 2, 4, 6, 6, 2, 3, 4, 3, 5, 1, 0, 8, 4, 4, 6, 2, 2, 2, 3, 3, 0, 2, 3, 4, 8, 2, 4, 5, 4, 2, 7]",17.955223880597014
scalability_2000,CMS,3.713102340698242,1.121246337890625,0.6,0.33429281636461816,0.011755883152449994,0.006600643839625401,67,"[880, 2, 2, 2, 18, 24, 2, 5, 4, 4, 2, 2, 2, 3, 4, 2, 3, 2, 2, 2, 3, 4, 3, 15, 3, 3, 3, 6, 2, 5, 3, 7, 2, 2, 2, 4, 6, 5, 2, 3, 4, 3, 2, 5, 1, 0, 8, 4, 4, 6, 5, 2, 2, 2, 3, 3, 2, 3, 4, 8, 2, 4, 4, 1, 2, 2, 7]",17.059701492537314
scalability_2000,CMS,3.8605034351348877,1.2864086627960205,0.7,0.34106686536618586,0.012510009221132483,0.006621890547263681,67,"[900, 2, 2, 2, 18, 24, 2, 5, 4, 4, 2, 2, 2, 3, 4, 2, 3, 2, 2, 2, 3, 4, 3, 15, 3, 3, 3, 6, 2, 5, 3, 7, 2, 2, 2, 4, 6, 6, 2, 3, 4, 3, 2, 5, 1, 0, 8, 4, 4, 6, 5, 2, 2, 6, 2, 3, 3, 2, 3, 4, 8, 2, 4, 4, 1, 2, 7]",17.432835820895523
scalability_2000,CMS,3.792445182800293,1.1450223922729492,0.8,0.344716448875029,0.01314643359754848,0.006614808311384255,67,"[903, 2, 2, 2, 2, 18, 24, 2, 0, 4, 4, 2, 2, 2, 3, 4, 2, 3, 2, 2, 2, 3, 4, 3, 15, 3, 3, 3, 6, 2, 5, 3, 7, 2, 2, 2, 4, 7, 6, 2, 3, 4, 3, 2, 5, 1, 8, 4, 4, 6, 5, 2, 2, 6, 2, 3, 3, 2, 3, 4, 8, 2, 4, 5, 4, 2, 7]",17.507462686567163
