data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg,orc_node,orc_edge
mexican,CMS,0.424439192,0.420442343,0.4,0.154143607,0.087784879,0.0975,3,"[10, 2, 3]",5,"[0.017989173136232044, 0.3277777777777778, 0.18333333333333363]","[0.005782234222360299, 0.3277777777777778, 0.13095238095238118]"
mexican,CMS,0.427492142,0.422411919,0.5,0.166018693,0.049908269,0.093333333,3,"[10, 2, 5]",5.666666667,"[0.0734838078588081, 0.3277777777777778, 0.2556547619047622]","[0.02672138467593022, 0.3277777777777778, 0.12030812324929986]"
mexican,CMS,0.430907726,0.427408457,0.6,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
mexican,CMS,0.422029734,0.419798374,0.7,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
mexican,CMS,0.429952383,0.422591925,0.8,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
mexican,CMS,0.430906057,0.426542759,0.9,0.247165942,0.313419706,0.093333333,3,"[4, 2, 9]",5,"[0.10416666666666669, 0.3277777777777778, 0.15432197892605168]","[0.05208333333333334, 0.3277777777777778, 0.048341824723823416]"
mexican,CMS,0.430175543,0.42622757,1,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
dolphin,CMS,0.43520093,0.429000378,0,0.846834704,0.91580545,0.646666667,3,"[33, 12, 0]",15,"[-0.0318296202442543, 0.15171626984127, 0.0]","[-0.0121963965421909, 0.06896194083694092, 0]"
dolphin,CMS,0.442382574,0.433863401,0.1,0.445826879,0.296482843,0.49,3,"[13, 16, 13]",14,"[0.12783656672545568, -0.010697197539302756, 0.10050054112554123]","[0.06055416318574216, -0.00495723788406713, 0.050250270562770614]"
dolphin,CMS,0.431640387,0.426600218,0.2,0.740150919,0.586278148,0.593333333,3,"[20, 10, 12]",14,"[-0.03022887606220938, 0.12535714285714294, 0.11386724386724396]","[-0.013164187962575052, 0.058305647840531605, 0.05693362193362198]"
dolphin,CMS,0.433661938,0.428869009,0.3,0.744676314,0.598963856,0.6,3,"[21, 9, 9]",13,"[-0.0382008864151721, 0.015902777777777776, 0.16048237476808921]","[-0.01697817174007649, 0.007396640826873384, 0.08024118738404461]"
dolphin,CMS,0.426273584,0.422442436,0.4,0.763503613,0.649096581,0.616666667,3,"[20, 9, 5]",11.33333333,"[-0.015503537680957004, 0.015902777777777776, 0.2276006821461368]","[-0.006769150255065734, 0.007396640826873384, 0.1138003410730684]"
